Pulso_Cardiaco,Presion_sistolica,Sudoracion_ml_h,emocion_cluster,emocion_etiqueta
72.3,114.17,0.41,0,3
79.84,122.1,0.78,1,0
79.35,131.27,0.43,3,4
62.74,111.38,0.43,0,3
71.01,132.79,0.6,1,0
81.19,128.55,0.83,1,0
69.14,129.16,0.51,1,0
85.75,132.25,0.58,4,2
57.6,120.11,0.59,0,3
78.68,115.63,0.42,0,3
74.43,139.48,0.77,4,2
95.89,123.09,0.81,3,4
72.51,130.27,0.52,1,0
81.94,135.41,0.47,1,0
74.61,137.56,0.59,1,0
71.17,140.33,0.74,4,2
62.82,109.84,0.24,0,3
82.19,125.94,0.9,1,0
75.8,135.17,0.63,3,4
70.75,109.92,0.26,0,3
84.04,121.26,0.69,1,0
82.04,139.89,0.5,1,0
76.92,134.89,0.66,1,0
104.52,145.75,0.6,4,2
72.64,133.32,0.66,3,4
75.05,118.47,0.32,0,3
89.07,145.9,0.56,1,0
88.82,132.39,0.69,1,0
69.69,144.93,0.49,4,2
67.89,117.63,0.59,3,4
68.12,126.4,0.65,3,4
69.51,118.78,0.43,2,5
72.6,135.17,0.52,3,4
69.94,111.63,0.42,0,3
69.92,122.12,0.58,0,3
74.02,125.82,0.63,3,4
70.17,136.05,0.67,3,4
69.7,115.97,0.63,0,3
89.03,145,0.51,3,4
75.66,123.53,0.68,1,0
68.67,140.79,0.57,1,0
80.58,141.3,0.82,1,0
73.58,135.71,0.71,1,0
68.65,131.51,0.71,1,0
72.71,120.68,0.49,0,3
68.12,126.4,0.65,3,4
85.59,124.23,0.57,2,5
56.88,116.42,0.22,0,3
63.41,119.83,0.51,0,3
67.12,146.97,0.54,1,0
73.73,127.44,0.5,0,3
99.22,141.51,0.89,4,2
68.34,110.2,0.75,2,5
61.13,108.84,0.37,0,3
62.56,111.96,0.35,0,3
66.89,117.4,0.45,0,3
72.36,120.89,0.51,0,3
70.43,110.5,0.6,0,3
70.21,127.43,0.55,0,3
70.42,114.89,0.53,0,3
67.31,124.72,0.57,0,3
82.34,124.87,0.53,2,5
74.8,134.78,0.69,2,5
60.3,141.74,0.26,2,5
83.2,108.9,0.43,2,5
76.6,124.4,0.89,2,5
70.06,146.76,0.83,4,2
72.75,129.25,0.7,4,2
70.71,119.53,0.5,0,3
79.2,133.63,0.5,1,0
72.98,133.76,0.4,2,5
70.33,120.61,0.72,3,4
78.92,148.9,1.08,4,2
85.75,128.24,0.7,1,0
79.43,126.84,0.45,2,5
71.52,135.45,0.52,3,4
77.48,139.56,0.85,1,0
69.32,131.07,0.62,2,5
61.16,118.27,0.38,0,3
65.4,125.87,0.65,0,3
75.71,133.79,0.6,2,5
83.57,109.91,0.86,3,4
84.7,139.72,0.5,4,2
60.85,128.97,0.65,2,5
55.36,113.3,0.51,0,3
68.62,121.97,0.51,0,3
70.79,123.89,0.68,2,5
88.88,116.71,0.73,4,2
65.31,121.15,0.58,0,3
71.57,130.18,0.76,2,5
66.33,137.01,0.72,1,0
77.82,125.14,0.42,0,3
66.98,137.18,0.76,2,5
64.55,110.46,0.75,3,4
81.7,139.72,0.53,4,2
73.39,123.13,0.39,2,5
70.21,116.59,0.54,0,3
78.34,133.25,0.56,2,5
67.84,134.84,0.53,2,5
72.7,115.19,0.65,0,3
62.89,128.25,0.59,0,3
62.13,129.23,0.44,2,5
70.82,123.49,0.66,0,3
79.1,121.52,0.67,2,5
77.87,118.3,0.48,0,3
64.89,138.35,0.48,2,5
67.59,122.11,0.63,0,3
68.3,121.93,0.62,0,3
81.84,122.94,0.4,2,5
67.53,119.5,0.56,0,3
66.27,118.75,0.44,0,3
74.17,120.15,0.35,0,3
82.06,125.82,0.88,2,5
81.75,136.33,0.43,2,5
76.71,116.73,0.44,0,3
76.43,132.48,0.44,2,5
81.43,136.98,0.56,3,4
70.99,132.86,0.4,0,3
67.14,129.58,0.5,0,3
70.63,116.81,0.62,0,3
65.92,114.55,0.23,0,3
